Headings,Dates,Summaries
"Two-Day Boil Water Notice Created Challenges for Micanopy Residents, Business Owners","March 3, 2020",Micanopy’s administration placed the town under a precautionary boil water notice Feb. 11 due to an equipment malfunction during a scheduled water tank cleaning.
Alachua County To Make First Appearance In Global City Nature Challenge,"February 14, 2020","For Earth Day's 50th anniversary, Alachua County will participate in the City Nature Challenge, a yearly global competition. "
Residents Rally As Decision Nears On Seven Springs’ Request To Pump From Ginnie Springs,"February 12, 2020","While Seven Springs waits to see if it can get another 20-year permit renewal from the Suwannee River Water Management District, the community has mobilized. With the final say in the hands of its six-member governing board, residents have poured out in numbers to voice their opposition. "
Alachua County Committee Hosts Discussion About Local Water Concerns,"February 6, 2020",Fifty people attended a discussion titled “Water: What Is It Good For?” that featured five panelists with varied environmental experience.
Zero Waste Week Aims To Promote A Lifestyle That Produces No Waste,"January 27, 2020",Zero waste is defined for people as living in a way that produces little to no waste.
Senate Moves Quickly To Thwart Sunscreen Bans,"January 15, 2020",The Florida Senate is moving quickly to prevent towns like Key West from banning the sale of sunscreens that contain potentially coral reef harming chemicals.
Alachua County Recycling Efforts Persevere Despite Declining Market,"January 15, 2020","Alachua County had an overall recycling rate of 68% in 2018, ranking third-highest in Florida. But Klugh said the public waste department must continue to educate residents about what should and should not be recycled – especially since the market for recyclables is down."
Gainesville Gardener’s Seed Saving Program Represents Step In Fighting Climate Change,"January 2, 2020",The Gainesville City Commission this fall declared a climate state of emergency — a largely symbolic move with little municipal heft behind it compared to the actions the federal government could take if motivated and mobilized — but some city residents do feel a sense of urgency to take steps toward combating climate change.
100 Stories From WUFT That Kept You Informed In 2019,"December 20, 2019",These were the top stories near you this year.
Alachua County Commission Signs Contract To Reduce Energy Use,"December 13, 2019","On Jan. 1, Cenergistic will begin to implement a plan to reduce the energy used by county buildings. The commission hopes to reduce energy spending by 20-25%."
Cabot Site Contamination Containment Nearly Complete With Help Of Massive Piece Of Construction Equipment,"December 12, 2019","On the street adjacent, the sounds of the trencher digging can be clearly heard, while smoke and cement smells are potent."
Bill Seeks To Replace Septic Tanks With Sewage Lines In Gainesville Neighborhoods,"December 10, 2019","It’s particularly a problem in low income neighborhoods, and efforts are underway to connect those houses with failing septic systems to sewage lines."
Environmentalists Debate Energy Market Changes,"December 9, 2019","The initiative, Florida Changes to Energy Market Initiative, has divided environmentalists by proposing a deregulated, competitive market for electric power. If approved, it would allow all Florida residents to generate, use and sell their own electric power, creating more opportunities for solar power usage."
"Small Sinkholes Near Haile Plantation Trail Don’t Warrant Engineering Study, Alachua County Says","December 5, 2019",Two sinkholes have opened up at the intersection of Haile Boulevard and Southwest 95th Terrace in Haile Plantation. The sinkholes are about 15 feet from a walking trail and don't warrant an engineering study by the county. 
Gainesville Declares State of Emergency with Climate Proclamation,"November 22, 2019","Below: listen to the radio version of this story from WUFT-FM. The city of Gainesville followed the lead of over 1,200 other communities in a climate change decision: Gainesville has declared a state of emergency. Gainesville City Commissioners voted unanimously on the decision to adopt a climate emergency proclamation. The …"
"The Battle of Bone Valley: Part I, The Case Tolling Florida’s Smallest County","November 20, 2019",A multi-family phosphate mining company is suing Union County for $298.75 million because of the county’s recent land-use limitations.
How Does Phosphate Mining Work?,"November 20, 2019","Before the mining process can begin, owners must conduct wildlife surveys, relocate threatened and endangered species and clear the property."
Orange Lake Overlook Conservation Efforts Turn Up Short,"November 20, 2019","With a loan of $1 million and outside fundraising, the Alachua Conservation Trust is just shy of its goal to save Orange Lake Overlook."
Community Members Work To Decrease Local Plastic Waste,"November 13, 2019",The Alachua County Library Headquarters Branch hosted an event to educate on local sustainability to reduce plastic waste after the repeal of the plastic bag ban. 
